iteration,timesteps,episodes,success_rate,mean_episode_length,avg_episode_reward,violations_per_100_steps,avg_time_to_failure,failure_rate,avg_collisions_per_episode,avg_oob_per_episode,avg_speed_violations_per_episode,avg_falls_per_episode,avg_total_violations_per_episode
2,16384,50,0.0,227.6,-9.083821976333857,0.7596004518149277,73.75,0.32,0.3,0.0,0.0,0.02,0.32
4,32768,50,0.0,283.9,-4.079764047376812,0.2006835269993164,31.666666666666668,0.06,0.06,0.0,0.0,0.0,0.06
6,49152,50,0.0,282.2,-4.411320211403072,0.110749601275917,77.5,0.08,0.08,0.0,0.0,0.0,0.08
8,65536,50,0.0,292.92,-4.40591573189944,0.0355389590879656,182.0,0.06,0.06,0.0,0.0,0.0,0.06
10,81920,50,0.0,294.26,-3.476551203466952,0.1538461538461538,13.0,0.02,0.0,0.0,0.0,0.02,0.02
12,98304,50,0.0,278.06,-4.495583595819771,0.3516731016731017,25.75,0.08,0.08,0.0,0.0,0.0,0.08
14,114688,50,0.0,217.74,-8.66162078153342,1.420961479527098,25.8,0.3,0.28,0.0,0.0,0.02,0.3
16,131072,50,0.0,288.78,-3.850892750918865,0.2052631578947368,19.5,0.04,0.04,0.0,0.0,0.0,0.04
18,147456,50,0.0,288.66,-3.6339875729754567,0.2444444444444444,16.5,0.04,0.04,0.0,0.0,0.0,0.04
20,163840,50,0.0,300.0,-2.980746319591999,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0
22,180224,50,0.0,297.62,-3.2019028339535,0.011049723756906,181.0,0.02,0.02,0.0,0.0,0.0,0.02
24,196608,50,0.0,275.84,-5.025950756110251,0.3895078702724416,58.4,0.1,0.1,0.0,0.0,0.0,0.1
